file,emotion,dur,F1,F2,F3,F4,F5,F6,Mean_F0,F0_start,F0_end,Max_F0,Perc_Time_Max_F0,Min_F0,F0_abs_slope,F0_Var,Q25,Q50,Q75,Fpeak,AM_var,AM_rate,AM_extent,harmonicity,Formant_dispersal,Vocal_tract_length,Mean_wiener_entropy
ut_fear_33-f-scream,fear,0.527,1207.661,2387.234,2553.552,4766.363,5045.573,7029.571,275.86,364.57,185.61,416.429,50.96,152.677,1482.71,1290.742,2398.141,3214.864,4868.711,2527.322,107.076,13.275,8.066,10.67,716.487,24.425,-4.868
ut_fear_38-f-scream,fear,2.422,1004.413,1852.732,2209.504,2460.9,3811.157,4127.121,359.154,441.62,461.89,495.149,16.988,80.339,1137.012,1049.908,2222.644,2557.466,4204.542,2204.039,95.517,17.547,5.444,11.43,775.532,22.565,-3.783
ut_fear_41-f-scream,fear,0.792,1092.062,1490.127,2992.248,3718.876,6559.562,7549.516,202.152,244.74,210.35,371.179,81.582,87.068,1055.252,953.817,1292.991,1481.57,1646.249,1479.356,84.084,19.576,4.295,7.89,800.454,21.863,-4.207
ut_fear_44-m-scream,fear,2.006,921.671,1210.937,1898.423,3058.099,3742.519,4375.967,369.118,356.02,386.11,491.696,53.14,191.746,1143.753,1074.203,999.942,1226.709,1778.875,1231.658,120.507,16.698,7.217,10.31,901.826,19.405,-4.478
ut_fear_45-m-roar,fear,1.414,536.744,1030.366,2522.796,3294.395,4705.235,5235.09,303.103,301.03,184.29,477.714,56.644,118.503,741.352,603.001,431.487,715.165,1136.677,403.163,91.227,18.039,5.057,6.11,1063.619,16.453,-2.040
ut_fear_47-m-with-disgust,fear,2.108,489.232,1195.778,3598.232,4855.443,6146.947,6809.991,322.697,209.55,438.26,458.251,57.95,112.887,457.598,406.326,413.353,761.805,1446.045,398.558,148.747,15.656,9.501,3.97,1038.33,16.854,-1.213
ut_fear_49-m-scream,fear,0.941,1021.114,2039.19,2925.879,3560.695,6349.264,7132.247,382.962,459.18,360.29,481.83,72.39,263.37,882.242,828.988,1065.02,1604.744,2310.94,1020.662,112.304,14.34,7.832,7.34,945.401,18.511,-2.533
ut_fear_51-m-scream,fear,1.495,786.44,1365.162,2281.054,3203.354,4817.999,5510.53,300.865,182.83,391.85,397.861,8.435,182.825,1250.345,889.442,790.268,1108.368,1558.113,785.03,82.404,19.401,4.247,2.42,716.508,24.424,-1.642
ut_fear_53-f-scream,fear,1.316,942.323,1236.341,2476.783,3215.152,3723.168,4968.596,407.686,309.96,405.82,421.464,47.189,309.957,123.451,110.856,1127.476,1251.85,1581.208,1238.835,135.768,21.649,6.271,15.21,656.775,26.645,-5.745
ut_fear_57-m-tone,fear,1.23,559.021,1134.865,2258.934,3128.949,4902.74,5827.783,280.594,170.05,175.4,373.857,50.307,170.049,384.463,353.746,465.504,750.752,1360.41,342.168,110.339,15.85,6.961,12.04,1018.541,17.181,-2.060
